# z       Moduli    Error
0.936001 24.4717 0.1405
0.460995 22.76265 0.11115
0.669999 23.78495 0.1775
0.245995 21.16055 0.10805
0.640003 23.49005 0.184
0.537005 23.06945 0.11085
0.774997 24.17605 0.17625
0.372001 22.15255 0.1043
0.701003 23.88895 0.1728
0.374998 22.11185 0.1039
0.854998 24.3052 0.1508
0.605003 23.58805 0.1429
0.536000 22.9223 0.1289
0.401997 22.2601 0.1151
0.373003 22.20135 0.10745
0.841999 24.0253 0.15175
0.531000 23.059 0.11385
0.929998 24.704 0.21015
0.551995 23.2838 0.1242
0.839999 24.3261 0.1858
0.727000 23.8687 0.19785
0.442001 22.67285 0.1137
0.282002 21.5746 0.1073
0.518999 23.03865 0.109
1.060002 24.6873 0.16415
0.267995 21.24725 0.1051
0.250002 21.1763 0.1114
0.700004 23.7924 0.2171
0.731997 23.7684 0.19115
1.000003 24.6122 0.0953
0.411001 22.451 0.10895
0.128104 19.5429 0.11965
0.257302 21.3344 0.1818
0.089686 18.64345 0.10605
0.119199 19.19345 0.0991
0.183882 20.2951 0.1284
0.141761 19.871 0.11635
0.152851 19.7933 0.10325
0.095007 18.889 0.10285
0.287693 21.6827 0.1504
0.264684 21.3576 0.14295
0.143622 19.79675 0.1047
0.161330 19.9329 0.1156
0.124072 19.3948 0.11665
0.126548 19.36855 0.113
0.174222 20.15345 0.09925
0.165344 20.03175 0.1083
0.160857 19.92285 0.11045
0.244980 20.86815 0.1298
0.249544 20.98175 0.13435
0.276662 21.37075 0.15505
0.331628 21.9321 0.1589
0.332056 21.82885 0.1481
0.161794 19.98615 0.10955
0.220030 20.87005 0.13435
0.121096 19.36835 0.1021
0.179577 20.72835 0.1286
0.280071 21.50115 0.13265
0.186811 20.48365 0.1298
0.067035 17.9881 0.1134
0.259194 21.2775 0.14285
0.281007 21.2773 0.1398
0.266737 21.0609 0.1301
0.186226 20.37525 0.1056
0.057329 17.65695 0.1072
0.327608 21.6733 0.1464
0.110087 19.1721 0.10285
0.204386 20.7001 0.1382
0.380829 22.13745 0.1395
0.212477 20.68915 0.12295
0.214726 20.78295 0.1364
0.145221 19.83575 0.113
0.253698 21.1678 0.16095
0.257921 21.2758 0.1749
0.220014 20.976 0.1685
0.079874 18.5397 0.12205
0.083989 18.7438 0.11605
0.171468 20.2489 0.107
0.237838 20.87655 0.14325
0.306692 21.3803 0.19765
0.083497 18.5179 0.1055
0.189638 20.2039 0.1187
0.082633 18.511 0.10425
0.257704 21.2564 0.16145
0.127168 19.58525 0.13485
0.103870 19.16175 0.1443
0.125735 19.4784 0.1006
0.371627 22.46065 0.1636
0.203311 20.38595 0.11475
0.180620 20.68245 0.14335
0.162833 20.1359 0.1299
0.227762 20.8771 0.141
0.297971 21.4449 0.1446
0.251473 21.20115 0.13305
0.150028 19.91815 0.1063
0.148518 19.776 0.10335
0.216177 21.20185 0.1483
0.145848 19.8106 0.13965
0.132935 19.9293 0.1333
0.220905 21.00055 0.1346
0.386084 22.40575 0.14945
0.174889 20.3461 0.1115
0.178836 20.20345 0.1224
0.300196 21.51975 0.1301
0.118944 19.44875 0.1339
0.177014 20.2397 0.106
0.246586 21.3752 0.1882
0.197182 20.54825 0.11935
0.249347 21.09655 0.1326
0.306839 21.77705 0.16135
0.247215 21.1569 0.13055
0.136217 19.9671 0.1135
0.211747 20.6402 0.1335
0.237419 21.1547 0.12315
0.179630 20.37535 0.1134
0.221843 20.81795 0.15445
0.315791 21.8201 0.1572
0.185289 20.55175 0.1118
0.262051 21.2036 0.13865
0.181809 20.21145 0.10535
0.381657 22.03255 0.1506
0.185954 20.38765 0.1082
0.209554 20.65465 0.12075
0.177857 20.33625 0.12905
0.316689 21.7168 0.15355
0.250516 21.1676 0.1247
0.204563 20.6509 0.11955
0.124465 19.4198 0.10285
0.203865 20.64385 0.12035
0.154541 20.1226 0.10495
0.335620 21.9349 0.1592
0.196760 20.5286 0.1151
0.250908 21.0769 0.14445
0.156305 20.0251 0.1063
0.156861 19.98785 0.12595
0.159540 19.81685 0.12375
0.310609 21.8114 0.19685
0.249718 21.1261 0.1388
0.186292 20.31575 0.1235
0.184972 20.5074 0.1247
0.181274 20.37965 0.13765
0.178176 20.28545 0.129
0.178821 20.0718 0.12115
0.072676 18.0121 0.1254
0.139146 19.66285 0.10475
0.170713 20.46515 0.1317
0.246714 20.7198 0.14705
0.144671 19.81665 0.10485
0.253014 21.2338 0.1462
0.037050 16.7708 0.1166
0.278675 21.8807 0.2055
0.288624 21.2668 0.1491
0.199782 20.61015 0.13895
0.160857 20.07605 0.129
0.211784 21.0136 0.15075
0.238700 21.0147 0.1316
0.156344 20.14265 0.11795
0.094906 18.94955 0.14945
0.153896 20.08555 0.11355
0.258369 21.2741 0.1446
0.212868 20.80065 0.1303
0.245879 20.88445 0.13085
0.138175 19.76485 0.11075
0.326919 21.9051 0.1809
0.107506 19.09035 0.10245
0.402456 22.30585 0.1602
0.190429 20.4864 0.13035
0.198237 20.4352 0.1122
0.128932 19.5616 0.132
0.123127 19.44025 0.1033
0.127753 19.59325 0.10365
0.213867 20.67635 0.1429
0.212127 20.727 0.12695
0.269695 21.4883 0.15275
0.205641 20.66435 0.12435
0.270810 21.2859 0.12695
0.242779 20.98075 0.15175
0.292300 21.236 0.14645
0.354598 21.81675 0.1515
0.286649 21.60225 0.15435
0.220738 20.6719 0.1534
0.176784 20.24765 0.1249
0.236507 20.9929 0.1458
0.153953 19.99965 0.1096
0.211166 20.90475 0.1584
0.291854 21.51945 0.1501
0.314512 21.8225 0.14945
0.137945 19.7402 0.1138
0.296875 21.7708 0.1925
0.304775 21.49625 0.135
0.206760 20.73155 0.1351
0.123087 19.34125 0.09805
0.175164 20.2369 0.11045
0.249670 21.2028 0.13995
0.246722 21.1159 0.14105
0.139557 19.8495 0.1169
0.244263 21.02795 0.1175
0.243891 21.18455 0.15195
0.315685 21.3618 0.137
0.276958 21.4485 0.153
0.301633 21.4204 0.15885
0.218249 20.89395 0.15665
0.204559 20.5734 0.12555
0.191330 20.4061 0.1552
0.290826 21.3714 0.15315
0.228791 20.83435 0.15045
0.311682 21.45975 0.15795
0.138480 20.12265 0.11415
0.089060 18.6796 0.1066
0.086240 18.62285 0.1057
0.191177 20.6486 0.11825
0.093243 18.8576 0.109
0.129669 19.58985 0.12795
0.262781 21.1668 0.15835
0.262782 21.4559 0.17885
0.194793 20.61715 0.12925
0.147880 19.83975 0.1218
0.212956 21.14485 0.1818
0.180326 20.30175 0.11325
0.191003 20.6928 0.11925
0.339694 21.7897 0.1618
0.118057 19.41925 0.10595
0.290127 21.5295 0.1639
0.265120 21.2679 0.15695
0.250801 21.38165 0.1409
0.230867 20.8794 0.1271
0.086484 18.608 0.10035
0.277457 21.62545 0.19055
0.362713 22.1744 0.1645
0.300739 21.62535 0.16525
0.116934 19.38465 0.1036
0.156104 19.83105 0.1045
0.251435 21.2982 0.13225
0.252746 21.209 0.1266
0.130407 19.5471 0.1075
0.310440 21.72385 0.1693
0.299821 21.66705 0.1633
0.272141 21.3419 0.169
0.294713 21.57975 0.1437
0.190754 20.46505 0.1185
0.124407 19.4023 0.1022
0.313731 21.63085 0.14295
0.310259 21.83605 0.15525
0.203825 20.60265 0.13765
0.212760 20.6247 0.1276
0.180013 20.4025 0.1152
0.304766 21.872 0.13765
0.215748 20.8217 0.1308
0.321626 21.6956 0.1358
0.218886 20.9318 0.14225
0.075943 18.2988 0.10185
0.258373 21.37115 0.15
0.185889 20.3647 0.13065
0.117434 19.29475 0.10185
0.065327 17.87655 0.1109
0.104044 19.16045 0.103
0.045197 16.92415 0.11995
0.167068 19.9345 0.12155
0.169222 20.0523 0.1219
0.171802 20.12375 0.14255
0.121542 19.52005 0.11295
0.139576 19.76995 0.1308
0.234963 20.92065 0.1527
0.247536 21.0223 0.14645
0.224082 21.0804 0.1546
0.180378 20.2809 0.1225
0.198388 20.5818 0.1167
0.230357 20.99445 0.14355
0.265709 21.45355 0.1665
0.104549 19.10195 0.1007
0.214557 20.73185 0.12325
0.157475 19.944 0.1104
0.244376 21.24885 0.15475
0.237264 21.2481 0.14335
0.209744 20.70195 0.1319
0.251810 21.4064 0.1659
0.226402 20.861 0.12955
0.288644 21.45405 0.14295
0.331065 21.65335 0.14295
0.247197 21.128 0.1225
0.120853 19.65185 0.142
0.330531 22.21015 0.20955
0.211378 20.57655 0.1203
0.204254 20.7349 0.1164
0.285517 21.2982 0.13635
0.180963 20.13755 0.10565
0.261732 21.31275 0.1521
0.149098 19.8403 0.1023
0.329157 21.80515 0.13855
0.243249 21.3452 0.1569
0.224497 20.93075 0.1281
0.183816 20.58185 0.1376
0.154207 20.0024 0.10245
0.139072 19.70325 0.10245
0.208558 21.03995 0.18575
0.204218 20.64165 0.1209
0.199199 20.49105 0.129
0.223738 20.9356 0.1392
0.274598 21.30625 0.14505
0.187733 20.52515 0.11385
0.159820 19.83815 0.1054
0.220445 20.8854 0.1261
0.174808 20.4812 0.1283
0.245419 20.96025 0.1449
0.134481 19.59395 0.101
0.284019 21.4441 0.13595
0.174844 20.3284 0.1373
0.197759 20.70795 0.1369
0.370275 22.26255 0.14325
0.206290 20.5658 0.12095
0.174692 20.28215 0.12665
0.128097 19.526 0.1097
0.285523 21.474 0.15145
0.194824 20.5958 0.1361
0.101255 18.95705 0.11145
0.375320 22.3047 0.0854
0.118937 19.35185 0.11365
0.192798 20.5315 0.1404
0.237956 21.01435 0.146
0.160129 19.99615 0.1245
0.079377 18.7576 0.11205
0.139837 19.99935 0.13335
0.234773 20.88475 0.1537
0.158079 20.02475 0.15485
0.088889 18.4809 0.11615
0.130915 19.79635 0.12165
0.182721 20.3359 0.12625
0.256987 21.13985 0.14805
0.217778 20.8123 0.13625
0.146287 19.90865 0.1399
0.137291 19.58645 0.1105
0.206190 20.934 0.1568
0.370763 22.04745 0.1558
0.130610 19.61205 0.10875
0.267940 21.33225 0.14765
0.278833 21.3866 0.13915
0.176050 20.5056 0.1317
0.114761 19.1271 0.10675
0.113577 19.38095 0.1026
0.154249 19.8424 0.10465
0.197785 20.7379 0.13845
0.190054 20.88525 0.12885
0.176891 20.47675 0.1273
0.218747 20.7809 0.13945
0.186785 20.33785 0.1283
0.164535 20.0237 0.11915
0.258396 21.34695 0.16715
0.122851 19.58065 0.13445
0.165355 20.09405 0.10665
0.199767 20.6407 0.1317
0.268830 21.39935 0.16265
0.402511 22.165 0.1348
0.146844 19.6731 0.12755
0.055889 17.56165 0.10915
0.225730 21.16495 0.15345
0.287713 21.42305 0.15585
0.185096 20.55265 0.14145
0.104715 18.96075 0.10555
0.332589 22.03 0.19055
0.219759 20.76195 0.1415
0.264704 21.035 0.1514
0.163840 20.2483 0.1303
0.107999 19.2184 0.10455
0.165737 20.0849 0.11585
0.108442 19.24475 0.10865
0.129907 19.5083 0.1143
0.058332 17.71775 0.12625
0.040688 17.0528 0.11665
0.017687 14.85645 0.1832
0.016375 14.59755 0.1613
0.013538 14.6158 0.14905
0.025696 15.97105 0.16165
0.016510 14.8718 0.1587
0.044197 16.72085 0.19805
0.014934 14.4307 0.15405
0.024192 15.6593 0.1718
0.036955 16.7664 0.13185
0.029862 16.2413 0.123
0.009351 13.90745 0.19825
0.028118 16.1648 0.1376
0.011640 14.0496 0.2048
0.037590 16.5851 0.2001
0.033684 16.45115 0.16785
0.013232 14.4486 0.171
0.024564 15.82815 0.13295
0.019307 15.3534 0.14115
0.032889 16.36835 0.1667
0.028613 16.3438 0.12735
0.033288 16.57565 0.1563
0.040388 16.7928 0.1127
0.074995 17.8882 0.1248
0.056006 17.23215 0.12285
0.025320 15.7896 0.1405
0.034309 16.6581 0.12485
0.028340 16.0051 0.13405
0.031058 16.64085 0.12525
0.032294 16.38795 0.1403
0.045894 17.2822 0.1025
0.043064 16.93145 0.1209
0.056939 17.73355 0.1203
0.019483 15.2868 0.12735
0.032233 16.59205 0.12775
0.039972 16.9967 0.1259
0.025217 15.93305 0.1399
0.025183 16.06745 0.1248
0.026319 15.87545 0.126
0.023107 15.6236 0.1338
0.049998 17.57225 0.158
0.037894 16.7302 0.1297
0.067853 18.16815 0.11055
0.016499 14.9841 0.1341
0.024631 15.8607 0.1496
0.021909 15.53085 0.1381
0.030020 16.1279 0.14115
0.067497 18.31035 0.1248
0.022310 15.56975 0.1391
0.048405 17.32405 0.12545
0.031937 16.3736 0.12625
0.034556 16.61295 0.1249
0.044719 17.2055 0.14795
0.014956 14.74935 0.1526
0.031442 16.25295 0.1342
0.037994 16.9021 0.16555
0.036966 16.77055 0.12655
0.022909 15.7795 0.13695
0.014088 14.64805 0.16195
0.059931 17.792 0.11395
0.059182 17.7707 0.10045
0.069998 18.1778 0.15105
0.020699 15.7067 0.156
0.028520 16.02685 0.1316
0.024140 15.7013 0.1335
0.015870 14.89705 0.16765
0.031551 16.452 0.1185
0.064297 17.78945 0.1136
0.016341 15.01385 0.15025
0.052936 17.4687 0.1439
0.030908 16.21965 0.11945
0.026960 15.9978 0.1291
0.026299 15.5514 0.1259
0.023617 15.78645 0.12635
0.036215 16.56045 0.1177
0.033510 16.39975 0.12455
0.023459 15.6001 0.1278
0.017842 14.91335 0.1531
0.017120 15.17685 0.15115
0.031022 16.34225 0.12125
0.036627 16.74885 0.12725
0.029145 15.8648 0.1457
0.018024 15.26595 0.1485
0.035397 16.59205 0.1761
0.029676 16.04785 0.1364
0.049970 17.2903 0.16335
0.041648 16.93325 0.117
0.033888 16.23615 0.1431
0.027819 16.0669 0.14255
0.029327 16.28725 0.1419
0.016623 14.9294 0.1556
0.069699 18.05925 0.1229
0.052821 17.62205 0.1398
0.026272 16.10835 0.12155
0.034889 16.42245 0.15235
0.033124 16.4802 0.15235
0.045036 17.18185 0.11625
0.060339 17.9246 0.11905
0.046071 17.16275 0.12315
0.021007 15.4466 0.1437
0.040658 16.8206 0.11335
0.036974 16.86145 0.1275
0.034018 16.39225 0.12215
0.024996 15.68035 0.1291
0.028403 16.1044 0.12155
0.008969 13.9248 0.20035
0.019280 15.42955 0.14185
0.046046 16.9842 0.14465
0.038518 16.7074 0.1146
0.012852 14.4566 0.1737
0.011698 14.2811 0.1749
0.017777 14.9354 0.1562
0.021095 15.502 0.13615
0.016470 14.86115 0.1939
0.020639 15.27645 0.15785
0.015366 14.92685 0.15925
0.010865 14.4674 0.17765
0.052892 17.57915 0.12805
0.029997 15.88935 0.45085
0.030986 16.1733 0.12025
0.015526 14.6193 0.15445
0.015770 14.6705 0.1456
0.045910 17.1679 0.1151
0.033560 16.515 0.1148
0.014433 14.53545 0.1635
0.014905 14.69915 0.1491
0.028486 16.23455 0.1179
0.034041 16.59355 0.1061
0.015120 14.6408 0.16555
0.024645 15.86575 0.1242
0.010767 14.0086 0.18445
0.017684 15.1 0.1498
0.020263 15.30565 0.1353
0.049448 17.4344 0.12175
0.022579 15.3918 0.13205
0.028734 16.3465 0.12485
0.054458 17.4521 0.1018
0.057827 17.60445 0.1094
0.020776 15.36595 0.1368
0.014137 14.99535 0.1656
0.043526 16.97675 0.10685
0.033141 16.3843 0.1205
0.033416 16.35135 0.11105
0.012549 14.47835 0.15385
0.050262 17.42035 0.1224
0.017937 15.0558 0.1465
0.023156 15.64995 0.13485
0.029567 16.09165 0.13605
0.015174 14.7589 0.1525
0.022669 15.36745 0.1436
0.035963 16.4701 0.12025
0.016672 14.6697 0.1558
0.027019 16.23595 0.1341
0.033960 16.6071 0.12105
0.013142 14.55605 0.17285
0.016252 14.9156 0.1511
0.013201 13.9791 0.1914
0.054207 17.3218 0.11385
0.019879 15.45455 0.1578
0.017019 14.6312 0.14705
0.024845 15.8239 0.13525
0.031330 16.31895 0.12075
0.014124 14.1903 0.1716
0.039094 16.99715 0.1201
0.016385 14.9486 0.16405
0.025045 15.91835 0.1425
0.020195 15.02285 0.15165
0.036428 16.8196 0.11505
0.023495 15.66265 0.13895
0.017009 14.8831 0.1518
0.021282 15.5348 0.13625
0.230879 21.0138 0.14645
0.380039 22.52675 0.14085
0.254211 21.09145 0.11245
0.152019 19.93715 0.11585
0.435989 22.84545 0.14185
0.101146 19.15365 0.1077
0.370032 22.12745 0.10645
0.464937 22.7822 0.11645
0.195295 20.50135 0.109
0.310038 21.7417 0.10825
0.031098 16.472 0.1289
0.109098 19.29245 0.12085
0.224985 20.723 0.12425
0.259992 21.22765 0.12265
0.224142 20.8629 0.1228
0.447008 22.59905 0.1524
0.439522 22.85455 0.16925
0.337329 21.74045 0.14605
0.527901 22.8422 0.14315
0.576039 23.2359 0.14515
0.387223 22.3891 0.15885
0.359960 21.92755 0.1335
0.346966 21.7912 0.14045
0.438707 22.56615 0.132
0.349124 21.8575 0.11575
0.431326 22.5444 0.12545
0.510020 22.7793 0.14135
0.290020 21.4826 0.1256
0.172083 20.49025 0.1308
0.318814 21.8387 0.1521
0.275592 21.50715 0.1382
0.103381 18.90405 0.12325
0.205729 20.5539 0.15765
0.265081 21.2449 0.1389
0.235172 20.8644 0.19515
0.214903 20.73405 0.17345
0.427009 23.03515 0.17065
0.401317 22.2536 0.149
0.320635 21.54775 0.14025
0.450035 22.72345 0.12465
0.160042 20.07365 0.12015
0.350043 22.05965 0.1158
0.250015 21.02715 0.11585
0.081796 18.52945 0.1223
0.105017 19.1167 0.10015
0.332020 22.0508 0.14375
0.101501 19.0531 0.1106
0.292719 21.4896 0.1351
0.131904 19.53775 0.0994
0.270028 21.22425 0.12
0.100029 19.0807 0.10935
0.353517 22.1458 0.14555
0.423431 22.599 0.2655
0.300042 21.71085 0.11935
0.147539 19.88745 0.11365
0.229998 20.96525 0.12895
0.139993 19.82205 0.1072
0.144789 19.88005 0.10815
0.093124 18.9547 0.1139
0.157611 20.1239 0.12545
0.240021 21.19555 0.2471
0.149974 20.15155 0.16675
0.509023 22.9937 0.1404
0.254022 21.20755 0.11325
0.285020 21.3163 0.1146
0.238025 21.0224 0.1241
0.342026 21.88785 0.1485
0.264924 21.064 0.1418
0.349804 22.1162 0.13315
0.321997 21.71485 0.1245
0.136001 19.80745 0.1216
0.305975 21.88165 0.1627
0.232982 21.21045 0.1599
0.299999 21.91835 0.1704
0.367012 21.9904 0.12345
0.168047 20.2554 0.1144
0.078992 18.337 0.10315
0.180032 20.3864 0.1142
0.179996 20.34675 0.16425
0.230024 21.03315 0.15375
0.045032 17.29255 0.1243
0.220039 20.7853 0.1197
0.199988 20.5274 0.21145
0.074964 18.378 0.11965
0.025694 15.98385 0.1362
0.190029 20.055 0.15515
0.177015 20.3552 0.11035
0.184034 20.5371 0.1169
0.347942 22.02925 0.13805
0.270808 21.30945 0.10785
0.292039 21.17535 0.1226
0.370012 21.7944 0.11375
0.097489 18.8215 0.14795
0.181993 20.2752 0.1117
0.276026 21.3734 0.1525
0.246591 21.2589 0.1441
0.362989 21.9082 0.2036
0.233024 20.92185 0.1499
0.146988 19.91105 0.11095
0.160014 20.18505 0.1775
0.421021 22.4583 0.14905
0.320022 21.66595 0.15665
0.519982 22.97595 0.19605
0.150018 19.9375 0.11
0.302961 21.6135 0.15825
0.210015 20.73865 0.1623
0.239980 20.71895 0.1478
0.331006 21.7581 0.12005
0.200029 20.72485 0.1607
0.360001 22.1621 0.14215
0.242026 21.3408 0.1213
0.220043 20.82175 0.14915
0.120001 19.3688 0.1916
0.340044 21.88605 0.16925
0.249980 21.0268 0.13165
0.380022 22.1535 0.1307
0.310012 21.81735 0.13845
0.198999 20.3968 0.14145
0.239963 21.0934 0.1643
0.502034 22.89585 0.20855
0.370013 22.10035 0.1358
0.269953 21.36745 0.13725
0.263024 21.391 0.1313
0.267968 21.22475 0.16715
0.307956 21.95175 0.1182
0.249964 21.3768 0.1625
0.280015 21.3787 0.11055
0.315992 21.9041 0.12485
0.330025 22.1329 0.16575
0.330511 21.9869 0.11895
0.260022 21.13905 0.14085
0.225002 20.6681 0.15385
0.211005 20.9208 0.1231
0.388988 22.2944 0.18525
0.308020 21.6875 0.1493
0.366003 22.2065 0.1423
0.249999 21.1327 0.1596
0.299998 21.39335 0.16425
0.125024 19.5741 0.1083
0.330038 21.7689 0.1401
0.382964 22.18595 0.1824
0.240016 21.13115 0.11795
0.170029 20.2873 0.17315
0.209992 20.859 0.16115
0.289979 21.715 0.1649
0.244544 21.1466 0.1219
0.136909 19.76145 0.12305
0.151321 19.8557 0.11605
0.118178 19.26765 0.1244
0.244258 21.05305 0.1237
0.349139 21.9623 0.10725
0.618034 23.4834 0.1156
0.218437 20.83145 0.10825
0.098229 19.1829 0.10965
0.409404 22.4668 0.20545
0.501995 22.81425 0.2082
0.380964 22.31495 0.143
0.279014 21.2969 0.11365
0.230646 20.74845 0.15255
0.426832 22.5594 0.1627
0.550025 23.1391 0.14355
0.325262 21.96765 0.14105
0.350850 22.00245 0.1283
0.328229 21.97245 0.18155
0.449985 22.4503 0.1316
0.064995 18.09975 0.1085
0.065899 17.91255 0.12675
0.319697 21.8116 0.12465
0.144700 20.2551 0.1724
0.139969 19.7799 0.1129
0.428788 22.75515 0.1527
0.216994 20.59575 0.11555
0.367826 21.88675 0.1841
0.379996 22.2063 0.1382
0.420000 22.47585 0.16245
0.199974 20.61175 0.15295
0.510024 22.8206 0.17305
0.426110 22.6189 0.15295
0.315011 21.9342 0.1522
0.577308 23.2802 0.1624
0.480045 23.0166 0.15415
0.391033 22.18855 0.1588
0.172991 20.08825 0.1083
0.329032 21.9984 0.1153
0.300011 21.70345 0.1614
0.230007 20.95825 0.1411
0.291997 21.54425 0.1708
0.207972 20.59295 0.11275
0.274204 21.2869 0.11615
0.302666 21.66825 0.11865
0.358942 22.19585 0.1342
0.359463 21.8702 0.1604
0.348933 21.98165 0.1223
0.630023 23.3169 0.11795
